Conectado ao TiDB.
Encontrados 293 estabelecimentos.
ID: 30000135, Slug: miles-wine-jazz-bar, Name: Miles Wine & Jazz Bar, Items: 22
ID: 30000136, Slug: pizzaria-paulino-campo-belo, Name: Pizzaria Paulino Campo Belo, Items: 30
ID: 30000137, Slug: barsotti-confeitaria, Name: Barsotti Confeitaria, Items: 24
ID: 30000138, Slug: panificadora-grao-independencia, Name: Panificadora Grão Independência, Items: 30
ID: 30000139, Slug: sushi-ishii, Name: Sushi Ishii, Items: 30
ID: 30000140, Slug: masaki-sushi, Name: Masaki Sushi, Items: 30
ID: 30000141, Slug: nawaki-sushi-ipiranga, Name: Nawaki Sushi - Ipiranga, Items: 30
ID: 30000142, Slug: kaito-sushi, Name: Kaito Sushi, Items: 30
ID: 30000143, Slug: barba-jack-sports-pub, Name: Barba Jack Sports Pub, Items: 24
ID: 30000144, Slug: pizzaria-baggio, Name: Pizzaria Baggio, Items: 22
ID: 30000145, Slug: la-sorella-pizza-bar, Name: La Sorella Pizza Bar, Items: 20
ID: 30000146, Slug: espaco-vida-saudavel-shake-ibirapuera-metro-moema, Name: Espaço Vida Saudável Shake Ibirapuera - Metrô Moema, Items: 24
ID: 30000147, Slug: thalou-confeitaria, Name: Thalou Confeitaria, Items: 24
ID: 30000148, Slug: we-coffee-ibirapuera, Name: We Coffee Ibirapuera, Items: 30
ID: 30000149, Slug: tonton-jazz-music-bar, Name: Tonton Jazz & Music Bar, Items: 16
ID: 30000150, Slug: braz-pizzaria-moema, Name: Bráz Pizzaria - Moema, Items: 30
ID: 30000151, Slug: sushi-nami, Name: Sushi Nami, Items: 30
ID: 30000152, Slug: iroha-sushi-saude, Name: Iroha Sushi Saúde, Items: 29
ID: 30000153, Slug: panificadora-ceci, Name: Panificadora Ceci, Items: 30
ID: 30000154, Slug: fit-stop-comida-saudavel, Name: Fit stop comida saudável, Items: 16
ID: 30000155, Slug: london-coffee-station, Name: London Coffee Station, Items: 30
ID: 30000156, Slug: santa-fe-pinheiros, Name: Santa Fé Bar & Restaurante, Items: 42
ID: 30000157, Slug: dona-vitamina, Name: Dona Vitamina, Items: 36
ID: 30000158, Slug: up-cozinha-bar, Name: UP Cozinha&Bar, Items: 30
ID: 30000159, Slug: consulado-da-bahia, Name: Consulado da Bahia, Items: 36
ID: 30000160, Slug: sao-conrado, Name: São Conrado, Items: 32
ID: 30000161, Slug: bar-do-juarez-brooklin, Name: Bar do Juarez Brooklin, Items: 30
ID: 30000162, Slug: de-primeira, Name: De Primeira, Items: 44
ID: 30000163, Slug: melts-gastrobar, Name: Melts Gastrobar, Items: 20
ID: 30000164, Slug: ministro-gastrobar, Name: Ministro Gastrobar, Items: 28
ID: 30000165, Slug: fabrica-drinks-gastrobar, Name: Fábrica Drinks | Gastrobar, Items: 16
ID: 30000166, Slug: aimbeer-pub, Name: Aimbeer 850 PUB, Items: 32
ID: 30000167, Slug: pub-cheers, Name: Pub Cheers, Items: 28
ID: 30000168, Slug: santana-bar, Name: Santana Bar, Items: 28
ID: 30000169, Slug: iracema-paes-e-doces, Name: Iracema Pães e Doces, Items: 30
ID: 30000170, Slug: bar-do-baixo, Name: Bar do Baixo, Items: 36
ID: 30000171, Slug: pipa-confeitaria-afetiva, Name: PIPA Confeitaria Afetiva, Items: 24
ID: 30000172, Slug: high-line-bar, Name: High Line Bar, Items: 24
ID: 30000173, Slug: lions-nightclub, Name: Lions Nightclub, Items: 8
ID: 30000174, Slug: alma-sao-paulo, Name: Alma São Paulo, Items: 24
ID: 30000175, Slug: le-jazz-brasserie-higienopolis, Name: Le Jazz Brasserie - Higienópolis, Items: 18
ID: 30000176, Slug: cervejaria-hettwer, Name: Cervejaria Hettwer Ipiranga, Items: 24
ID: 30000177, Slug: cervejaria-perdizes, Name: Cervejaria Perdizes, Items: 24
ID: 30000178, Slug: nosso-lastro-cervejaria, Name: Nosso Lastro - Parrilla Cervejaria, Items: 24
ID: 30000179, Slug: cervejaria-dogma-jardins, Name: Cervejaria Dogma - Tasting Room Jardins, Items: 12
ID: 30000180, Slug: cervejaria-oak-pinheiros, Name: Cervejaria Oak - Pinheiros, Items: 10
ID: 30000181, Slug: leggera-pizza-napoletana, Name: Leggera Pizza Napoletana, Items: 30
ID: 30000182, Slug: bullger, Name: Bullger, Items: 24
ID: 30000183, Slug: stunt-burger, Name: Stunt Burger, Items: 12
ID: 30000184, Slug: tan-tan, Name: Tan Tan, Items: 24
ID: 30000185, Slug: sylvester-bar-autoral, Name: Sylvester Bar, Items: 28
ID: 30000186, Slug: eap-emporio-alto-dos-pinheiros, Name: EAP Empório Alto dos Pinheiros, Items: 48
ID: 30000187, Slug: quebec-bar-pinheiros, Name: Québec Bar e Restaurante, Items: 61
ID: 30000188, Slug: bar-teste-avalyarin, Name: Conta Teste Pinheiros, Items: 51
ID: 30000189, Slug: samba-burguer, Name: Conta Teste Samba Burguer, Items: 5
ID: 30000190, Slug: esquina-do-meio, Name: Esquina do Meio, Items: 0
ID: 30000191, Slug: loja-teste-shopping-ok-mqpiqmfy, Name: Loja Teste Shopping OK, Items: 0
ID: 30000192, Slug: pizzaria-teste-avalyarin, Name: Pizzaria Teste Avalyarin, Items: 5
ID: 30000193, Slug: coquetelaria-teste-avalyarin, Name: Coquetelaria Teste Avalyarin, Items: 5
ID: 30000194, Slug: o-baiao-cozinha-nordestina-pacaembu, Name: O Baião - Cozinha Nordestina (Pacaembu), Items: 49
ID: 30000195, Slug: o-baiao-cozinha-nordestina-ctn, Name: O Baião - Cozinha Nordestina (CTN), Items: 49
ID: 30000196, Slug: o-baiao-cozinha-nordestina-vila-madalena, Name: O Baião - Cozinha Nordestina (Vila Madalena), Items: 49
ID: 30000197, Slug: cana-mania-natural-liberdade, Name: Cana Mania Natural - Liberdade, Items: 17
ID: 30000198, Slug: cana-mania-natural-pinheiros, Name: Cana Mania Natural - Pinheiros, Items: 17
ID: 30000199, Slug: familia-mineira, Name: Familia Mineira, Items: 12
ID: 30000200, Slug: vinho-no-boteco-pinheiros, Name: Vinho no Boteco, Items: 10
ID: 30000201, Slug: choribar, Name: Choribar, Items: 10
ID: 30000202, Slug: daje-roma, Name: Daje Roma, Items: 10
ID: 30000203, Slug: matilda-lanches-pinheiros, Name: Matilda Lanches, Items: 10
ID: 30000204, Slug: consulado-da-bahia-pinheiros, Name: Consulado da Bahia, Items: 12
ID: 30000205, Slug: buza-korean-food, Name: Buza Korean Food, Items: 10
ID: 30000206, Slug: soft-ice-cream-pinheiros, Name: SOFT Ice Cream, Items: 10
ID: 30000207, Slug: sucrier, Name: Sucrier, Items: 10
ID: 30000208, Slug: pine-co-pinheiros, Name: Pine Co. - Pinheiros, Items: 9
ID: 30000209, Slug: pine-co-vila-nova-conceicao, Name: Pine Co. - Vila Nova Conceicao, Items: 9
ID: 30000210, Slug: dona-vitamina-pinheiros, Name: Dona Vitamina, Items: 10
ID: 30000211, Slug: colchetes-bar, Name: Colchetes, Items: 10
ID: 30000212, Slug: brasa-charrua, Name: Brasa Charrua, Items: 10
ID: 30000213, Slug: lanchonete-real-pinheiros, Name: Lanchonete Real Pinheiros, Items: 10
ID: 30000214, Slug: chou-restaurante, Name: Chou, Items: 10
ID: 30000215, Slug: dois-tropicos, Name: Dois Tropicos, Items: 13
ID: 901090002, Slug: almanara-morumbi, Name: Almanara, Items: 77
ID: 901090003, Slug: america-morumbi, Name: America, Items: 37
ID: 901090004, Slug: andiamo-morumbi, Name: Andiamo, Items: 91
ID: 901090005, Slug: badaro-morumbi, Name: Badaró, Items: 50
ID: 901090006, Slug: barbacoa-grill-beer-morumbi, Name: Barbacoa Grill Beer, Items: 25
ID: 901090007, Slug: coco-bambu-morumbi, Name: Coco Bambu, Items: 29
ID: 901090008, Slug: corrientes-348-morumbi, Name: Corrientes 348, Items: 26
ID: 901090009, Slug: esplanada-grill-morumbi, Name: Esplanada Grill, Items: 24
ID: 901090010, Slug: fogo-de-chao-morumbi, Name: Fogo de Chão, Items: 26
ID: 901090011, Slug: frutaria-sao-paulo-morumbi, Name: Frutaria São Paulo, Items: 19
ID: 901090012, Slug: fuoco-farina-morumbi, Name: Fuoco & Farina, Items: 24
ID: 901090013, Slug: le-chef-boucher-morumbi, Name: Le Chef Boucher, Items: 25
ID: 901090014, Slug: madero-morumbi, Name: Madero, Items: 25
ID: 901090015, Slug: margaux-morumbi, Name: Margaux, Items: 44
ID: 901090016, Slug: nagare-sushi-morumbi, Name: Nagarê Sushi, Items: 30
ID: 901090017, Slug: ninetto-morumbi, Name: Ninetto, Items: 20
ID: 901090018, Slug: olea-morumbi, Name: Olea, Items: 20
ID: 901090019, Slug: olive-garden-morumbi, Name: Olive Garden, Items: 36
ID: 901090020, Slug: outback-morumbi, Name: Outback Steakhouse, Items: 22
ID: 901090021, Slug: piraja-morumbi, Name: Pirajá, Items: 20
ID: 901090022, Slug: pobre-juan-morumbi, Name: Pobre Juan, Items: 20
ID: 901090023, Slug: su-morumbi, Name: SU, Items: 18
ID: 901090024, Slug: tartuferia-san-paolo-morumbi, Name: Tartuferia San Paolo, Items: 20
ID: 901090025, Slug: tasca-do-ze-maria-morumbi, Name: Tasca do Zé Maria, Items: 19
ID: 901090026, Slug: tgi-fridays-morumbi, Name: TGI Fridays, Items: 20
ID: 901090027, Slug: tuy-bar-cocina-morumbi, Name: Tuy Bar Cocina, Items: 17
ID: 901090028, Slug: zucco-morumbi, Name: Zucco, Items: 20
ID: 901090029, Slug: emporio-de-comidas-morumbi, Name: Empório de Comidas, Items: 17
ID: 901090030, Slug: frans-cafe-morumbi, Name: Frans Cafe, Items: 18
ID: 901090031, Slug: we-coffee-morumbi, Name: We Coffee, Items: 16
ID: 901150002, Slug: aj-padaria-pinheiros, Name: AJ Padaria, Items: 108
ID: 901180002, Slug: almanara-eldorado, Name: Almanara, Items: 79
ID: 901180003, Slug: america-eldorado, Name: America, Items: 38
ID: 901180004, Slug: andiamo-ristorante-pizzeria-eldorado, Name: Andiamo Ristorante & Pizzeria, Items: 98
ID: 901180005, Slug: cabana-burger-eldorado, Name: Cabana Burger, Items: 78
ID: 901180006, Slug: caipira-grill-eldorado, Name: Caipira Grill, Items: 3
ID: 901180007, Slug: coco-bambu-conceito-eldorado, Name: Coco Bambu Conceito, Items: 32
ID: 901180008, Slug: cortes-asador-eldorado, Name: Cortés Asador, Items: 22
ID: 901180009, Slug: frutaria-sao-paulo-eldorado, Name: Frutaria São Paulo, Items: 43
ID: 901180010, Slug: haoma-cafe-eldorado, Name: Haoma Café, Items: 12
ID: 901180011, Slug: hiro-restaurante-eldorado, Name: Hiro Restaurante, Items: 68
ID: 901180012, Slug: ibiza-restaurante-eldorado, Name: Ibiza Restaurante, Items: 53
ID: 901180013, Slug: madero-steak-house-eldorado, Name: Madero Steak House, Items: 39
ID: 901180014, Slug: mania-de-churrasco-buffet-pizza-eldorado, Name: Mania de Churrasco Buffet & Pizza, Items: 35
ID: 901180015, Slug: ninetto-trattoria-eldorado, Name: Ninetto Trattoria, Items: 25
ID: 901180016, Slug: outback-steakhouse-eldorado, Name: Outback Steakhouse, Items: 58
ID: 901180017, Slug: pecorino-bar-trattoria-eldorado, Name: Pecorino Bar & Trattoria, Items: 57
ID: 901180018, Slug: pipo-bronze-paul-cho-eldorado, Name: Pipo (Bronze + Paul Cho), Items: 12
ID: 901180019, Slug: piraja-eldorado, Name: Pirajá, Items: 17
ID: 901180020, Slug: the-steak-factory-eldorado, Name: The Steak Factory, Items: 17
ID: 901180021, Slug: viena-express-eldorado, Name: Viena Express, Items: 15
ID: 901180022, Slug: we-coffee-eldorado, Name: We Coffee, Items: 16
ID: 901180023, Slug: moma-modern-mamma-osteria-eldorado, Name: MoMa - Modern Mamma Osteria, Items: 21
ID: 902080002, Slug: gula-gula-restaurante, Name: Gula Gula Restaurante, Items: 14
ID: 902080003, Slug: moma-modern-mamma-osteria, Name: MoMa - Modern Mamma Osteria, Items: 29
ID: 902080004, Slug: paparoto-cucina, Name: Paparoto Cucina, Items: 9
ID: 902260010, Slug: kaskata-s-lanches, Name: Kaskata's Lanches, Items: 15
